–Á•¿–¼,Ticker
FORMFACTOR INC,FORM
ELEMENT SOLUTIONS INC,ESI
BRIGHTSPRING HEALTH SERVICES,BTSG
ARGAN INC,AGX
MOLINA HEALTHCARE INC,MOH
STONEX GROUP INC,SNEX
KRYSTAL BIOTECH INC,KRYS
ESCO TECHNOLOGIES INC,ESE
VIASAT INC,VSAT
POWELL INDUSTRIES INC,POWL
EASTMAN CHEMICAL CO,EMN
MATCH GROUP INC,MTCH
EVERUS CONSTRUCTION GROUP,ECG
VISHAY INTERTECHNOLOGY INC,VSH
PLEXUS CORP,PLXS
ENPRO INC,NPO
RYMAN HOSPITALITY PROPERTIES,RHP
QORVO INC,QRVO
LUMEN TECHNOLOGIES INC,LUMN
GLAUKOS CORP,GKOS
CORCEPT THERAPEUTICS INC,CORT
RALLIANT CORP,RAL
CARMAX INC,KMX
ALKERMES PLC,ALKS
JACKSON FINANCIAL INC A,JXN
MAXLINEAR INC,MXL
ZURN ELKAY WATER SOLUTIONS C,ZWS
FEDERAL SIGNAL CORP,FSS
MYR GROUP INC/DELAWARE,MYRG
GATES INDUSTRIAL CORP PLC,GTES
BRINKER INTERNATIONAL INC,EAT
ETSY INC,ETSY
TG THERAPEUTICS INC,TGTX
JBT MAREL CORP,JBTM
ENPHASE ENERGY INC,ENPH
TERRENO REALTY CORP,TRNO
PROTAGONIST THERAPEUTICS INC,PTGX
KODIAK GAS SERVICES INC,KGS
ARMSTRONG WORLD INDUSTRIES,AWI
MACERICH CO/THE,MAC
ARCOSA INC,ACA
MADISON SQUARE GARDEN SPORTS,MSGS
LKQ CORP,LKQ
PTC THERAPEUTICS INC,PTCT
VICTORIA S SECRET + CO,VSXY
ARCHROCK INC,AROC
GRANITE CONSTRUCTION INC,GVA
POOL CORP,POOL
KULICKE + SOFFA INDUSTRIES,KLIC
US DOLLAR,-
ESSENTIAL PROPERTIES REALTY,EPRT
LINCOLN NATIONAL CORP,LNC
ACM RESEARCH INC CLASS A,ACMR
